candidate_name,optimizer,learning_rate,batch_size,batch_label,momentum,mean_val_auc_pr,std_val_auc_pr,mean_val_accuracy,std_val_accuracy,mean_val_precision,std_val_precision,mean_val_recall,std_val_recall,mean_val_f1,std_val_f1,mean_val_f2,std_val_f2,mean_val_cost,std_val_cost,mean_train_mse,std_train_mse,mean_val_mse,std_val_mse,gap_mse,mean_threshold,std_threshold,mean_stopped_at,mean_test_auc_pr,std_test_auc_pr,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_cost,std_test_cost,mean_test_mse,std_test_mse,mean_elapsed_s,std_elapsed_s
gd_lr1e-01,gd,0.1,32,32,0.9,0.9509736662021819,4.4152183085458e-05,0.9618879743650535,9.924765140450058e-05,0.771352101001491,0.0005210507176162895,0.9553686339400624,0.0,0.8533261076776716,0.00032415055949812263,0.911685004857223,0.0001496779553575927,0.04328702179690299,9.924765140453569e-05,0.005425280073441496,5.612993524081073e-07,0.005460159402738075,5.588451723752286e-07,3.487932929657888e-05,0.8129434431031808,0.00024149628415418025,117.52000000000001,0.9509571899141861,7.660842929338286e-05,0.9599644128113878,1.1102230246251565e-16,0.7707006369426752,0.0,0.9307692307692308,0.0,0.843205574912892,0.0,0.8936484490398818,0.0,0.04804270462633452,0.0,0.005491651327535073,1.3071802756301613e-06,6.181229159592476,0.4474826536886385
gd_lr1e-02,gd,0.01,32,32,0.9,0.9511994323008667,3.1432800983518546e-05,0.9624525819394553,7.684673702850899e-05,0.774322093870252,0.00039839344144933084,0.9553686339400624,0.0,0.8551627990939302,0.00024758870404119397,0.9125295246285663,0.00011425342451089914,0.04272241422250115,7.6846737028492e-05,0.005427357936076936,3.1062357708505774e-07,0.005467225836728538,2.3309928383603863e-07,3.9867900651602455e-05,0.811311335902054,0.00032885607561770777,463.91999999999996,0.9509703279518218,4.849578157850587e-05,0.9603202846975089,0.0004358522673991542,0.7726767924220154,0.002420286288394273,0.9307692307692308,0.0,0.8443848834092738,0.0014443520327319362,0.8941772351044026,0.0006476280205850324,0.04768683274021353,0.00043585226739914056,0.005490619271594338,1.562610575742052e-07,26.369407955023053,0.5554852028379016
gd_lr1e-03,gd,0.001,32,32,0.9,0.9610624053647395,0.00033062230619263834,0.963048488495953,0.001999329360781485,0.7808089711583557,0.011958785244321904,0.9548023533737819,0.005105495170853976,0.857961029189721,0.0060353055310858085,0.913189000882254,0.0028079922676293636,0.04218981879706307,0.001734345860857028,0.007459703631150523,0.00013246531388784954,0.0075052649388827235,0.0001328983241911278,4.5561307732200006e-05,0.6953386926006979,0.006035886362836777,500.0,0.9663523873000817,0.0007809753811831158,0.9610320284697508,0.003791330205100099,0.7555823632682105,0.01971601231261411,0.9815384615384616,0.0037684457581280075,0.8536978653726554,0.011959528433129075,0.9260094024447051,0.005156767124020531,0.04110320284697509,0.003620460845084663,0.006882941790414184,8.625772952355993e-05,27.412134485827846,0.1989428814448966
gd_lr1e-04,gd,0.0001,32,32,0.9,0.9344811869569731,0.018145171249138378,0.9642733213082677,0.01047742071207997,0.8254482286325591,0.06377582923546385,0.8917870932156647,0.01343571880696401,0.8548010253462544,0.03597539120599899,0.8759003305601798,0.01869494636986288,0.04827282386308755,0.010847685732879194,0.021958272118469884,0.0024797862350453143,0.021990428442336313,0.0024830646399326517,3.2156323866430055e-05,0.6142303640013224,0.021038654616634945,500.0,0.9689194645626976,0.012177108484786654,0.9679715302491104,0.010018283459259248,0.8065406316905787,0.05753893638080195,0.9584615384615385,0.012498520622516853,0.8749788863664444,0.03562158068672814,0.9229360205165211,0.020151758097352927,0.03683274021352313,0.01078826077667197,0.01893299548433521,0.0019264073624477612,27.793356937216593,0.527204394620646
adam_lr1e-01,adam,0.1,32,32,0.9,0.950078192297188,0.0017966732005407233,0.9594402008307543,0.0034129005443555975,0.760193838987054,0.022548678955143897,0.9556425813568671,0.007754247654348668,0.8458509982120586,0.010399245938863651,0.9081874835368465,0.002066584111916518,0.04570349646489895,0.0026173128606480746,0.00570465078449473,2.8693227168648484e-05,0.005571483209041725,2.0243654232894438e-05,-0.00013316757545300592,0.8146980724437333,0.013391079865588944,93.47999999999999,0.9468458880676456,0.008778484695644934,0.9546263345195729,0.008056392471652504,0.7479116068154574,0.05643777262636816,0.9307692307692307,0.0326356975932253,0.8270918346321098,0.022909987550955652,0.8856122930660563,0.012847860174970437,0.053380782918149475,0.005598623744680523,0.006708289325275908,0.0003596011836021517,6.955291290595778,0.7424067221276263
adam_lr1e-02,adam,0.01,32,32,0.9,0.9505152368217367,0.0008510383261694218,0.9603824359162522,0.0014732072013618233,0.7634291576120448,0.008513707872216532,0.9553686339400624,0.001480331236500434,0.8484432909505435,0.00466024421223512,0.9094435667694671,0.0014353366200665185,0.04479263400561575,0.0013182217359034368,0.005478839837107634,1.835406663323773e-05,0.005422508896917255,1.0882779983438152e-05,-5.633094019037912e-05,0.8097182569294435,0.005061033327272069,82.4,0.9493434831800938,0.004322179389434904,0.9594306049822064,0.001206820281694882,0.7676114556514596,0.01405452422239459,0.9323076923076924,0.020293701474266002,0.8416594216660911,0.003610059724435328,0.8937050495548016,0.011908724354639232,0.04839857651245551,0.0020750718486993963,0.005552344593832201,2.5439836958947753e-05,6.024285035995854,0.8645778060673553
adam_lr1e-03,adam,0.001,32,32,0.9,0.950792846909868,0.00014455135099282297,0.9620762834962777,0.00030415041788494116,0.7725923388475676,0.001914206248053895,0.9548280933995219,0.0006620242548062033,0.8538758244423569,0.000915264088392184,0.9116423393204529,0.00012209389274039423,0.04316145776371798,0.00023053021283016308,0.005424932813273666,1.3163484840240357e-06,0.005452725634217557,1.4382985970638506e-06,2.7792820943891088e-05,0.8136604054497664,0.0007693020014063387,109.6,0.9509789698675813,0.00026105458845026035,0.9599644128113878,0.0005626828576812221,0.7714117265447199,0.0034021484437246146,0.9292307692307693,0.003076923076923066,0.8429896073830607,0.001910066777005319,0.8926973169301325,0.002079184459618822,0.048220640569395026,0.0006657753357249014,0.005491202841731246,2.349617295038667e-06,8.107054352403793,0.35290370461962817
adam_lr1e-04,adam,0.0001,32,32,0.9,0.9509486004476834,6.562960148611716e-05,0.9622958175023084,0.0002735362647303282,0.7737537345314964,0.001735241605000291,0.9548280933995219,0.0006620242548062033,0.8545885030492769,0.0008253723257812411,0.9119684326872056,0.00019174950062254538,0.0429419237576873,0.00020814278578296834,0.00542576294738627,6.041330611568058e-07,0.005463062241638734,3.273249015123731e-07,3.729929425246373e-05,0.8123938598778114,0.0007091245506121675,259.24,0.9510643789153711,7.708433410951047e-05,0.9594306049822064,0.00043585226739915417,0.7677739256631461,0.002389649753098196,0.9307692307692308,0.0,0.8414488966318234,0.0014343218102824179,0.8928576097044484,0.0006457176134445821,0.048576512455516016,0.00043585226739914403,0.005490745643931332,3.709626833842032e-07,18.797019516174622,0.49444469108815803
momentum_lr1e-01,momentum,0.1,32,32,0.9,0.950576379211765,0.00038710369143158893,0.9616059165407181,0.0007316473799988675,0.7704281755491569,0.004393774045988416,0.9537470123184407,0.0015759329445528057,0.8521529644151717,0.0022746586082804687,0.9102746565468911,0.0009057935855028153,0.04375726574208173,0.000635191265635761,0.005441967795052069,3.6410954571601016e-06,0.005428465162600833,3.811168004294404e-06,-1.3502632451236826e-05,0.8150158672719217,0.001979677259123748,85.12,0.9497766773813604,0.0012090992505950685,0.9587188612099645,0.0019973260071747103,0.770751144280556,0.007769018801978051,0.9153846153846154,0.009730085108210416,0.8368487233664161,0.007843339908435096,0.8822604867301624,0.00868367435549128,0.051067615658362986,0.0030091698443572537,0.005512185805838716,8.09657628618799e-06,4.920922019599675,0.5984372577593102
momentum_lr1e-02,momentum,0.01,32,32,0.9,0.950974263332955,7.479572755696075e-05,0.9619193469140731,0.00023057708831839582,0.7715206738002924,0.0012016420565287898,0.9553686339400624,0.0,0.8534294657195849,0.0007473991366088913,0.9117322280552982,0.0003450700860994016,0.04325564924788338,0.0002305770883184049,0.005425004705459603,8.891535969634143e-07,0.005460157806469443,4.606960220501143e-07,3.5153101009839646e-05,0.8128009364597713,0.0004736836352306978,117.35999999999999,0.950912928581628,9.986106996426118e-05,0.9596085409252669,0.0004358522673991542,0.7687494960896558,0.002389649753098196,0.9307692307692308,0.0,0.8420344560588464,0.0014343218102824179,0.8931212228162595,0.0006457176134445821,0.048398576512455514,0.00043585226739914403,0.0054922016311751585,1.3268056631327604e-06,6.7993279135997,0.29961489279142034
momentum_lr1e-03,momentum,0.001,32,32,0.9,0.9511872200136949,2.618620352125882e-05,0.9624525819394553,7.684673702850899e-05,0.77431565916305,0.0003929662688957203,0.9553686339400624,0.0,0.8551602589577809,0.0002454712535411512,0.9125288336206363,0.0001136822532939599,0.04272241422250115,7.6846737028492e-05,0.005426821762611472,5.511279671480311e-07,0.0054670190898389055,2.0308688390700746e-07,4.019732722743332e-05,0.8112654831782768,0.000313195136330106,467.08000000000004,0.9509945758426112,5.9394959772401766e-05,0.9601423487544484,0.0003558718861210064,0.7716887146823452,0.0019761554793401802,0.9307692307692308,0.0,0.8437952291610828,0.0011793084963816368,0.8939128420721423,0.0005287860645206699,0.04786476868327403,0.00035587188612099533,0.005490567401044527,1.014967695281204e-07,27.41836394737693,0.1859144594586963
momentum_lr1e-04,momentum,0.0001,32,32,0.9,0.9610605816630912,0.0003332361588816384,0.963048488495953,0.001999329360781485,0.7808089711583557,0.011958785244321904,0.9548023533737819,0.005105495170853976,0.857961029189721,0.0060353055310858085,0.913189000882254,0.0028079922676293636,0.04218981879706307,0.001734345860857028,0.0074593998594435895,0.00013246702914886514,0.007504959089469328,0.00013289175337287556,4.555923002573809e-05,0.695343354335287,0.006035153560061822,500.0,0.9663523873000817,0.0007809753811831158,0.9612099644128114,0.003585309907403895,0.7564230857641054,0.018733262568225304,0.9815384615384616,0.0037684457581280075,0.854250065545218,0.011331279551422038,0.9262747809200229,0.00491351457052191,0.04092526690391459,0.0034226662031443685,0.006882734428526993,8.626464715704751e-05,29.762068441203155,0.20298157404768338
