config_name,architecture,n_params,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
1L-32,"[784, 32, 10]",25450,0,0.9936759686809877,0.9268194611982308,0.8281938325991189,0.7818437022590834,117,39.03826186799779
1L-32,"[784, 32, 10]",25450,1,0.9927725356354146,0.9260152794531564,0.8277933520224269,0.7811680207492996,111,36.715359158002684
1L-32,"[784, 32, 10]",25450,2,0.9883557518570568,0.9324487334137516,0.828594313175811,0.7819677728219686,88,36.99130909700034
1L-32,"[784, 32, 10]",25450,3,0.9927725356354146,0.9296340973059911,0.8317981577893472,0.7850786239856099,124,46.62302780400205
1L-32,"[784, 32, 10]",25450,4,0.9876530817104999,0.9332529151588259,0.8281938325991189,0.780946141493075,82,39.93181962900053
1L-64,"[784, 64, 10]",50890,0,0.9976912266613129,0.9420989143546441,0.8394072887464958,0.7924610689764849,155,102.25259833999735
1L-64,"[784, 64, 10]",50890,1,0.9977916081108211,0.9425010052271814,0.8398077693231878,0.7922043286502728,115,69.67098359400188
1L-64,"[784, 64, 10]",50890,2,0.9975908452118049,0.9457177322074789,0.841810172206648,0.7953038444040648,139,82.97398144099861
1L-64,"[784, 64, 10]",50890,3,0.9958843605701666,0.9404905508644954,0.8370044052863436,0.790113701587256,104,55.498492859998805
1L-64,"[784, 64, 10]",50890,4,0.9957839791206585,0.9408926417370326,0.8398077693231878,0.7934387771273986,100,53.913606058998994
1L-128,"[784, 128, 10]",101770,0,0.9986950411563943,0.9469240048250904,0.8446135362434922,0.7984796942458475,147,124.34954710699822
1L-128,"[784, 128, 10]",101770,1,0.9982935153583617,0.9445114595898673,0.842611133360032,0.7957063858334188,90,79.55384400899857
1L-128,"[784, 128, 10]",101770,2,0.9975908452118049,0.9473260956976277,0.8450140168201842,0.7979274536868369,85,73.84293409500242
1L-128,"[784, 128, 10]",101770,3,0.998494278257378,0.9437072778447929,0.84221065278334,0.7952601470527523,116,99.56966981499863
1L-128,"[784, 128, 10]",101770,4,0.9979923710098374,0.9537595496582227,0.8434120945134161,0.7963758121633917,94,79.47662616300295
1L-256,"[784, 256, 10]",203530,0,0.9982935153583617,0.9493365500603136,0.8470164197036444,0.8005841397080629,78,128.09580853999796
1L-256,"[784, 256, 10]",203530,1,0.9988958040554106,0.9513470044229996,0.8486183420104125,0.8013912851851291,95,155.67296345700015
1L-256,"[784, 256, 10]",203530,2,0.9985946597068862,0.9529553679131484,0.8518221866239487,0.8046825787974848,105,172.04284831400219
1L-256,"[784, 256, 10]",203530,3,0.9980927524593455,0.9493365500603136,0.8522226672006408,0.8052644396838362,94,150.05411056799858
1L-256,"[784, 256, 10]",203530,4,0.9991969484039349,0.9553679131483716,0.8510212254705647,0.8040991950017613,104,169.55539900800068
2L-64-32,"[784, 64, 32, 10]",52650,0,0.9964866492672154,0.9437072778447929,0.8414096916299559,0.7952390108538456,76,45.58932577700034
2L-64-32,"[784, 64, 32, 10]",52650,1,0.9983938968078699,0.9380780056292722,0.8430116139367241,0.7970245340842989,121,72.24672316899887
2L-64-32,"[784, 64, 32, 10]",52650,2,0.9981931339088537,0.9449135504624046,0.841810172206648,0.7949484321855843,117,70.56155154299995
2L-64-32,"[784, 64, 32, 10]",52650,3,0.9935755872314797,0.9396863691194209,0.8338005606728074,0.7869355356310095,64,38.444263986002625
2L-64-32,"[784, 64, 32, 10]",52650,4,0.9972897008632805,0.9473260956976277,0.8414096916299559,0.7948083506850023,107,61.223162884001795
2L-128-64,"[784, 128, 64, 10]",109386,0,0.9990965669544268,0.9481302774427021,0.8518221866239487,0.8054805996775242,130,126.45416914200177
2L-128-64,"[784, 128, 64, 10]",109386,1,0.9988958040554106,0.9481302774427021,0.8506207448938726,0.8043721173263843,156,152.1762472570008
2L-128-64,"[784, 128, 64, 10]",109386,2,0.9994980927524594,0.9469240048250904,0.8530236283540248,0.806235175055596,144,142.4329070399981
2L-128-64,"[784, 128, 64, 10]",109386,3,0.9982935153583617,0.9541616405307599,0.8534241089307169,0.806650054184338,126,122.5785021729971
2L-128-64,"[784, 128, 64, 10]",109386,4,0.998494278257378,0.9509449135504624,0.8486183420104125,0.8014606577506219,115,113.49132015799842
2L-64-64,"[784, 64, 64, 10]",55050,0,0.9975908452118049,0.9445114595898673,0.8430116139367241,0.7959347240111566,118,90.09536585599926
2L-64-64,"[784, 64, 64, 10]",55050,1,0.9971893194137723,0.9429030960997186,0.84221065278334,0.7957344982592921,90,67.20177346299897
2L-64-64,"[784, 64, 64, 10]",55050,2,0.9976912266613129,0.9429030960997186,0.8470164197036444,0.80032773124932,102,91.59818910500326
2L-64-64,"[784, 64, 64, 10]",55050,3,0.9981931339088537,0.9465219139525533,0.8450140168201842,0.7976211426412225,192,148.13244673499867
2L-64-64,"[784, 64, 64, 10]",55050,4,0.9971893194137723,0.9457177322074789,0.8430116139367241,0.7957013079975837,117,85.72425789300178
2L-40-20,"[784, 40, 20, 10]",32430,0,0.9949809275245934,0.9388821873743466,0.8313976772126552,0.7847583800648475,91,46.992632823999884
2L-40-20,"[784, 40, 20, 10]",32430,1,0.9959847420196748,0.9308403699236028,0.8374048858630356,0.7904968786729675,99,49.25483693999922
2L-40-20,"[784, 40, 20, 10]",32430,2,0.9899618550491869,0.9408926417370326,0.8317981577893472,0.7849965005066175,69,36.76549364300081
2L-40-20,"[784, 40, 20, 10]",32430,3,0.9917687211403333,0.9308403699236028,0.8338005606728074,0.7862982128573299,73,41.17322060799779
2L-40-20,"[784, 40, 20, 10]",32430,4,0.9868500301144348,0.9352633695215119,0.8305967160592711,0.7829558361089497,65,32.859583301000384
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,0,0.9961855049186911,0.9433051869722557,0.842611133360032,0.7962591716648947,116,85.23223975700239
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,1,0.9976912266613129,0.9441093687173301,0.8450140168201842,0.7982384056075388,135,103.49576805499964
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,2,0.9972897008632805,0.9477281865701649,0.8438125750901081,0.7976631037902966,167,128.4838333780026
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,3,0.996888175065248,0.9465219139525533,0.8438125750901081,0.7973533125156136,111,80.4074277159998
3L-64-32-16,"[784, 64, 32, 16, 10]",53018,4,0.9967877936157398,0.9473260956976277,0.8382058470164198,0.7921374943826296,93,71.0948431470024
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,0,0.9963862678177073,0.9441093687173301,0.8458149779735683,0.7990397282614097,69,58.17643360399961
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,1,0.996888175065248,0.9457177322074789,0.8446135362434922,0.7972125328435807,88,76.45224128500195
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,2,0.9900622364986951,0.9416968234821069,0.8346015218261914,0.7873960796917622,58,45.936853471001086
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,3,0.9980927524593455,0.9473260956976277,0.8486183420104125,0.8021523344747195,126,119.960968667001
3L-64-64-64,"[784, 64, 64, 64, 10]",59210,4,0.9966874121662317,0.9513470044229996,0.842611133360032,0.7965376614807422,97,107.10391000599702
